Compositor,Obra,Año,Duración,Género y efectivo,Estreno,Edición discográfica,Notas,Grabación 1
"Abalo, Juan Pablo (1978)",El Milagro del Insectario,2004,12'05,Mixta. Dos violines y electrónica.,"Marzo 2005, Instituto Goethe. Santiago, Chile.","""Música de Cámara Electroacústica"". Fondart CD 2004.",,JPA_01 CD01
"Albornoz, Alejandro (1971)",Eeeh…jercicio,2005,2'54,Electrónica sobre soporte.,,,,AA05_01 CD01
"Alcalde, Andrés (1952)",Añoranza,1977,,Mixta. Oboe y electrónica sobre soporte.,,,,
"Alvarado, Boris (1962)",Shu-Shu,,5'30,Electrónica sobre soporte.,,"""Música Electroacústica en el GEMA 2000"". SVR-GEMA-3006-13. CD.",,BA_01 CD01
"Alvarez, Pedro (1980)",Tripali,2004,11'15,Mixta. Soprano viola y electrónica.,"Marzo 2005, Instituto Goethe. Santiago, Chile.","""Música de Cámara Electroacústica"". Fondart CD 2005.",,PA04_01 CD01
,Bahari II,2004,,"Mixta. Flauta, clarinete bajo, viola, cello y live electronics","Noviembre 2004. XIV Festival de música contemporánea de la Universidad Católica. Santiago, Chile.",,,
"Amenábar, Juan (1922-1999)",Los Peces,1957,3'03,Electrónica sobre soporte.,,"""Juan Amenábar, Compositor Chileno"". SVR Producciones ABA-SVR900000-4. CD 1999.",,JA57_01 CD01
,Feed Back,1964,,Mixta. Violin y electrónica sobre soporte.,"1984. Jornadas Mundiales de la SIMC. Toronto, Canadá. Sergio Polizzi, violin.",,Encargada por Pedro D'Andurian.,
,Klésis,1968,18'19,Electrónica sobre soporte.,,"""Música Electrónica"". Sello Asfona/ Astral VBPS-239. LP 1968. ""Juan Amenábar, Compositor Chileno"". SVR Producciones ABA-SVR900000-4. CD 1999.",,JA68_02 CD01
,Música Contínua,1969,,,,,,
,Preludio en High Key,1970,,Electrónica sobre soporte.,,,,
,Sueño de un niño,1970,4'50,Electrónica sobre soporte.,,"""Juan Amenábar, Compositor Chileno"". SVR Producciones ABA-SVR900000-4. CD 1999.",,JA70_03 CD01
,Amacatá,1972,8'55,Electrónica sobre soporte.,,"""Juan Amenábar, Compositor Chileno"". SVR Producciones ABA-SVR900000-4. CD 1999.",,JA72_04 CD02
,Ludus Vocalis,1973,6'30,Electrónica sobre soporte.,,"""Juan Amenábar, Compositor Chileno"". SVR Producciones ABA-SVR900000-4. CD 1999.",,JA73_05 CD02
,"Contratempo, senzatempo",1976,16'18,Electrónica sobre soporte.,,"""Juan Amenábar, Compositor Chileno"". SVR Producciones ABA-SVR900000-4. CD 1999.",,JA76_06 CD02
,Juegos,1976,5'42,Electrónica sobre soporte.,,"""Juan Amenábar, Compositor Chileno"". SVR Producciones ABA-SVR900000-4. CD 1999.",,JA76_07 CD02
,Cántiga en el Umbral,1997,,Electrónica sobre soporte.,,,,
"Ancarola, Francesca (1971)",A,1991,,Electrónica sobre soporte.,,,"Ganadora de la categoría ""Residencias"" del Concurso internacional de Bourges.",
,Loop,1992,,Electrónica sobre soporte. (?),,,,
,Música para los ojos,1985,,Multimedia.,"Octubre de 1985, Festival Anacrusa. Santiago, Chile.",,Con video de pInturas,
,Stratus,,6'16,Mixta. Guitarra y electrónica.,,"""Música de Concierto Chilena"" ICH-SVR-900000-3. CD 1999.","Luis Orlandini, guitarra",
,Fuego fatuo,,4',Electrónica sobre soporte.,"Julio 2000. Sala SCD, Santiago, Chile.",,"Obra realizada con el software ""Punto y Tono"", desarrollado por el autor.",
,Fuego fatuo II,,,Electrónica sobre soporte.,,,,
"Arriagada, Jorge (1943)",Concierto para violín y cinta,1969,,Mixta. Violín y electrónica sobre soporte.,,,,
,A4,1969,,Electrónica sobre soporte.,,,,
,Chile '70,1970,,"Mixta. Octeto de cuerdas, solista (quena, charango, guitarra) y electrónica sobre soporte.",,,,
,Cuatro momentos musicales,1970,,Electrónica sobre soporte.,,,,
,Etude,1972,9'15,Electrónica sobre soporte.,,,,
,Indio (Solstice d'hiver des saisons),1972,13',Electrónica sobre soporte.,,,"Encargo del GMEB para la obra colectiva ""Les saisons"" y para los Juegos Olimpicos de Munich, 1973.",
,Arena y mas allá,1974,10',Electrónica sobre soporte.,,,,
,Chile '73,1974,,Electrónica sobre soporte.,,,"Compueta en el estudio electroacústico de Gandt, Bélgica.",
"Asuar, Jose Vicente (1933)",Dúo Concreto,1957,,Electrónica sobre soporte.,,,Obra descatalogada por el autor.,
,Variaciones Espectrales,1959,12'48,Electrónica sobre soporte.,"Junio 1959. XVIII Temporada de Cámara del Instituto de Extensión Musical de la Universidad de Chile. Teatro Antonio Varas. Santiago, Chile.",,"Fué utilizada como música incidental del Ballet ""Germinal"". Coreografía de de German Silva. Estrenada en Mayo 1964 por el Ballet de Arte Moderno. Teatro Municipal. Santiago, 1964.",JVA59_01 CD02
,Preludio La Noche,1961,3',Electrónica sobre soporte.,,,"Compuesta en el estudio de la Technische Horschule en Karlsruhe, Alemania. Fue utilizada como música incidental del Ballet ""Germinal"". Coreografía de de German Silva. Estrenada en Mayo 1964 por el Ballet de Arte Moderno. Teatro Municipal. Santiago, 1964.",
,Serenata para mi voz y sonidos sinusoidales,1961,8',Electrónica sobre soporte.,,,"Obra inconclusa descatalogada por el autor. Compuesta en el estudio de la Technische Horschule en Karlsruhe, Alemania.",
,Estudio Aleatorio,1967,6',Electrónica sobre soporte.,,,"Obra inconclusa descatalogada por el autor. Compuesta en el estudio de la Technische Horschule en Karlsruhe, Alemania.",
,Divertimento,1967,7',Electrónica sobre soporte.,,"""Música Electrónica"". Sello Asfona/ Astral VBPS-239. LP 1968.","Primer Premio en el concurso internacional de música electrónica y de computadores auspiciado por el Darthmouth Arts Council. EE.UU. La obra forma parte de ""Imágen de Carácas""",JVA67_02 CD02
,La Noche II,1967,30' ca.,Electrónica sobre soporte.,,,,
,Imágen de Caracas,1968,150',Multimedia.,,,Obra comisionada por el consejo Municipal de Carácas en conmemoracion del cuatricentenario de la ciudad.,
,Catedral,1968,6',Electrónica sobre soporte en 4 Pistas.,,"""Música Electrónica"". Sello Asfona- Astral VBPS-239. LP 1968/ ""Música Electrónica"". Phillips 6348028. LP 1976","La obra forma parte de ""Imágen de Caracas"".",JVA68_03 CD02
,Caleidoscopio,1968,7',Electrónica sobre soporte en 4 Pistas.,,"""Música Electrónica"". Sello Asfona- Astral VBPS-239. LP 1968","La obra forma parte de ""Imágen de Caracas"".",JVA68_04 CD02
,Guararia Repano,1968,14'21,Electrónica sobre soporte.,,"""Música Electrónica"". Phillips 6348028. LP 1976./ ""Cultures Electroniques 5"" CD LDC 278051/52 1990",Obra ganadora del 3er Concurso Internacional de Música Electroacústica de Bourges. (1975),JVA68_05 CD03
,Buffalo '71,1971,12',Electrónica sobre soporte.,1972 (?) Festival de Música Contemporánea del Instituto de Música de la Universidad Católica.,,Compuesta en el estudio de música electrónica de la Universidad de Nueva York.,
,Partita Electronica,1974,20',Electrónica sobre soporte.,,,,
,Affaires des Oiseaux,1976,11'59,Electrónica sobre soporte.,"Junio 1976. Festival Synthése, Bourges, Francia","""Imeb Opus 30"". Vol. II. Crysopée Electronique. LDC 2781113. CD 2003",Encargo del GMEB,JVA76_06 CD03
,Amanecer,1977,8',Electrónica sobre soporte.,"Septiembre de 1977. Berliner Festwoche. Berlin, Alemania.","""Música Electroacústica"". Asociación Nacional de Compositores. MEA 102. Casette 1989.",Compuesta en el Instituto de Ciencias de la Comunicación de la Universidad Técnica de Berlin. Alemania.,JVA77_07 CD03
,Una Flauta en el camino (COMDA 2),,2'48,Electrónica sobre soporte.,,"""Música Electroacústica"". Asociación Nacional de Compositores. MEA 102. Casette 1989.",,JVA_08 CD03
,Elegía (COMDA 5),1982,16'25,Electrónica sobre soporte.,,"""Música Electroacústica"". Asociación Nacional de Compositores. MEA 102. Casette 1989.",,JVA82_09 CD03
,Diálogos,1985,12'12,Electrónica sobre soporte.,"Octubre 1985. Festival Anacrusa. Sala Goethe. Santiago, Chile.","""Encuentro de Música Contemporánea"". Sello A.M.A./ IRT. Casette 1986",,JVA85_10 CD03
,En el Jardín (COMDA 7),1985,12'05,Electrónica sobre soporte.,,"""Música Electroacústica"". Asociación Nacional de Compositores. MEA 102. Casette 1989.",,JVA85_11 CD03
,Sonata,1985,12'14,Electrónica sobre soporte.,,,,JVA83_12 CD04
,En el Infinito (COMDA 8),1987,9'22,Electrónica sobre soporte.,,"""Música Electroacústica"" Asociación Nacional de Compositores. MEA 102. Casette 1989.",,JVA87_13 CD04
,Erase una vez en Francia,1989,11'30,Electrónica sobre soporte.,,,,
,Cuatro Piezas Instrumentales,1989,17'30,Electrónica sobre soporte.,,,,
"Becerra, Gustavo (1925)",2da Sinfonía,1957-58,20',Mixta. Obra sinfónica con intervención de un oscilador en el último movimiento.,"Noviembre 1958. Teatro Astor, Santiago de Chile.","Disco del Concurso Crav, 1963",El oscilador empleado estaba programado para emitir una onda sinusoidal y luego una diente de sierra.,
,Juegos,1966,,"Mixta. Piano, 12 pelotas de ping-pong, 1 ladrillo y grabación en cinta magnética.","1966, Auditorium de la Biblioteca Nacional. Santiago, Chile",,La parte electrónica consistía en la grabación de parte del concierto la que luego debía ser reproducida simultáneamente con la continuación de la obra,
,Oratorio Macchu Picchu,1966,38',"Mixta. Soprano solista, 2 recitantes, coro SATB, cinta, oscilador de audiofrecuencia y orquesta.",,,Textos de Pablo Neruda: Alturas de Macchu Picchu y Canto II del Canto General.,
,Lord Cochrane de Chile,1967,25',"Mixta. Oratorio para recitante, voces solistas SATB, coro mixto a 4 voces (divididas en 4 masas corales), cinta magnética, amplificador y orquesta.",,,,
,Tres piezas para clavecín y cinta magnética,1968,5'12,Mixta. Clavecín y electrónica sobre soporte.,"Noviembre 1968. Teatro IEM. Santiago, Chile.",,"Las piezas son: 1-Morula 2- Gastrula 3-Blastula Ruby Ried, Clavecin.",GBS68_01 CD04
,Oda al alambre de púa,1969,24',"Mixta. Soprano recitante, piano preparado, orquesta y electrónica sobre soporte.","Mayo 1970, II Festival de música de Guanabara. Rio de Janeiro, Brasil.",,Encargo del festival de Guanabara. Texto basado en el poema homónimo de Pablo Neruda. La cinta ha sido extraviada.,
,Lénin,1971,16'52,"Mixta, voz recitante y electrónica sobre soporte.","1970, Bonn, Alemania.",,Como voz recitante actúa el propio autor.,GBS71_02 CD04
,Batuque,1971,4'14,Electrónica sobre soporte.,,,"Materiales sonoros reformulados en ""Corvalán"".",GBS71_03 CD04
,Parsifae,c. 1972,,"Multimedia. Opera breve para una actriz, un actor y un mimo mas electrónica sobre soporte.",,,Texto de Tobías Barros Alonso.,
,Historia de una provocación,1972,20'17,"Mixta. Barítono, conjunto de cámara (picc, 2fl, ob, cl, fg, pi, cuarteto de cuerdas) y electrónica sobre soporte.",Septiembre 1972 palacio de la UNESCO en Paris. Francia.,,"Estreno bajo la dirección del autor con Fernando Lara, barítono y la orquesta filarmónica de la UNESCO.",GBS72_04 CD04
,Nocturno,1974,15'25,Electrónica sobre soporte.,,,"Parte de la ópera ""La muerte de Rodrigo"" no estrenada.",GBS74_05 CD05
,Cornos Volantes,1974,22',Electrónica sobre soporte.,,,"Materiales sonoros reformulados en ""Corvalán"".",GBS74_06 CD05
,Corvalán,1975,41'07,Mixta. Recitante y electrónica sobre soporte.,"1975. Teatro Benedetto Marcello. Bienal de Venecia, Italia. Estreno parcial.",,"Carla Cristi, Recitante. Luigi Nono, proyección sonora. Versión original con texto en aleman.",GBS75_07 CD06
,Progresiones,1976,23'50,Multimedia. Proyecciones de cine y diapositivas y electrónica sobre soporte.,"1977, Maracaibo, Venezuela.",,,GBS76_08 CD05
,Das Neue Wort,1976,10',Mixta. Voz y electrónica sobre soporte.,,,Versión electrónica de la obra original para voz y clarinete Bajo. La cinta que contiene la parte electrónica esta extraviada.,
,Strukturen,Entre 1978 y 1980,11'05,Electrónica sobre soporte.,,,,GBS78_09 CD06
,Cuando,Entre 1978 y 1980,16'08,Mixta. Recitante y electrónica sobre soporte.,,,,GBS78_10 CD07
,Quipus,Entre 1978 y 1980,3'04,Electrónica sobre soporte.,,,,GBS78_11 CD07
,Batallas para Allende,1979,9'46,Electrónica sobre soporte.,,,"Forma parte de la cantata ""Allende"", compuesta para Quilapayún. Textos de Eduardo Carrasco.",GBS79_12 CD07
,Balistocata,1979,3'10,Electrónica sobre soporte (existe una transcripción para piano solo).,"Enero de 1982, Radio Colonia. Alemania.",,Obra de música computacional: el computador controla modulos de sonido periféricos mediante un diagrama de flujo realizado por el compositor.,GBS79_13 CD07
,Variationen über Balistocata von G. Becerra Scmidt,1980,9'36,Electrónica sobre soporte (existe una transcripción para piano solo).,"Enero de 1982, Radio Colonia. Alemania.",,Compuesta en conjunto con Wolfgang Marin Stroth.,GBS80_14 CD07
,Exposición Concertante,1981,,Multimedia. Ruidos y sonidos producido por el público y programas computacionales que generan respuestas sonoras a las variable producidas por el público.,"Marzo 1981. Kuntsverein Oldemburgo, Alemania.",,"Elementos plásticos creado ppor Flor Auth dotados de sensores acústicos. La información era enviada a 11 sintetizadores EMS con secuencias programadas de donde retornaban a los parlantes montados en los objetos sensibilizados. ""Arte para tocar y mover"".",
,Ossietzky Oratorium,1983,75',"Mixta. Voces solistas (2S, 2A, T, 2 Bar, B), coro mixto, perc, orquesta y electrónica sobre soporte.","Febrero de 1985, Oldemburgo, Alemania.",,Encargo de la Universidad de Oldemburgo.,
,Oda al mar,1986,14'10,Electrónica sobre soporte.,Junio de 1987. Sala de actos y exposiciones de la biblioteca central de la U. de Oldenburgo.,,Musica de Fondo para la obra homonima de Pablo Neruda.,GBS86_15 CD07
,Das Schweigen,1987,22'46,Mixta. Monodrama para contralto y computador.,"1a Versión: Febrero 1987, Hamburgo. 2a Versión: Junio 1987, Bremen, Alemania.",,"Ilse Zahn Wienands, contralto. Texto de Gertrud Meyer. Como todas las obras electroacústicas o con electroacústica de Becerra, estan abiertas de acuerdo a las posibilidades de reproducción, a la intervención de ""live electronics"".",GBS87_16 CD08
,Interior,1987,16'14,Electrónica sobre soporte.,,,"Obra de música computacional: el computador controla modulos de sonido periféricos (tres Yamaha DX7 en este caso) mediante un diagrama de flujo realizado por el compositor. ""Dedicada a mi padre"".",GBS57_17 CD08
,Concierto para 4 pianos sampleados,2004,17'56,Electrónica sobre soporte (Es posible confiar algunas partes a pianos acústicos).,"Noviembre 2004. Sala el Pentágono, Universidad de La Serena, Chile.",,"Estreno organizado por Mario Arenas con empleo de su programa ""Punto y Tono"".",GBS04_18 CD08
"Brnčić, Gabriel (1942)",Génesis,1964,,Música para escena. (Ballet) Electrónica sobre soporte.,1964. Santiago de Chile.,,Grabación Perdida.,
,Máquinas,1964,,Música para escena. Electrónica sobre soporte.,1964. Santiago de Chile.,,Grabación Perdida.,
,Quodlibet II,1966,8',Electroacústica en tiempo real (Sintetizador).,,,Existe solo la Partitura.,
,Dialexis,1966,15',"Mixta. 11 Percusionistas, Piano, celesta y electrónica sobre soporte.","1966. CLAEM, Buenos Aires. Ritmus Ensemble.",,,
,Volveremos a las Montañas,1967,10',Electrónica sobre soporte.,1966. Buenos Aires.,,,
,"Acuerdate, ha muerto…",1967,7',Mixta. Clarinete y violín procesados y electrónica sobre soporte (8 pistas),"1967. CLAEM, Buenos Aires.",,,GB67_01 CD08
,"Acuerdate, ha muerto…(versión 2)",1967,7',"Mixta. Oboe, Clarinete, Violín, Viola y electrónica sobre soporte.",1969. Montevideo.,,,
,Volveremos a las Montañas (Versión 2),1968,17',Electrónica sobre soporte.,"1968. New York. (Alcídez Lanza, director).",,,
,Quodlibet IV,1968,8',Mixta. Acordeón y Electrónica sobre soporte.,1970. Buenos Aires.,,Posiblemente 1a obra para acordeón y electrónica.,GB68_02 CD08
,Quodlibet VIII,1968,7',"Mixta. Oboe, Cor. Ing y electrónica sobre soporte.",1968. Buenos Aires.,,,
,Quodlibet VIII (Versión 2),1968,7',"Mixta. Flauta, Viola Contrabajo, Cor Ing y electronica sobre soporte.",1970. Buenos Aires.,,,
,Quodlibet VIII (Versión 3),1968,7',"Mixta. Flauta, Viola y electrónica sobre soporte.",1971. Buenos Aires,,,
,Puerto Montt,1968,23',Electrónica sobre soporte.,,,No ha sido estrenada,
,El Túnel (a Jorge Sabato),1969,13'15,Electrónica sobre soporte.,1997. Gran Canaria. Festival Punto de Encuentro,,Realizada en el CLAEM,GB69_03 CD09
,Batucada,1970,29',Electrónica sobre soporte.,1971. Islandia. Festival de la SIMC,,Existe una versión mas corta (14'),GB70_04 CD09
,Preludio de Madera,1970,14',Electrónica sobre soporte.,1971. Buenos Aires,,,GB70_05 CD09
,Preludio de Cristal,1970,10',Electrónica sobre soporte.,1971. Buenos Aires,,"Parte del espectáculo ""Mecano visuales""",GB70_06 CD09
,Donald Blues,1971,4',Electrónica sobre soporte.,,,,
,Agua,1971,5',Electrónica sobre soporte.,1981. Barcelona.,,,
,Cuarteto (Versión 2),1972,,"Mixta. Violìn, 2 Violas y Electrónica sobre soporte.",,,,
,Arpegios,1972,17',Electrónica sobre soporte.,,,,
,Música de 1973,1973,10',"Mixta. Piano, viola, sintetizador y cinta.",1973. Buenos Aires.,,,
,Chile Fértil Provincia,1975/76,23',"Mixta. Percusión, Viola, Contrabajo y electrónica sobre soporte.",1976. Barcelona Fundacion Miró.,,,
,Un día en el jardìn del gigante,1976,60',"Música para escena. Piano, Percusión y electrónica sobre soporte.",1976. Barcelona Fundacion Miró.,,,
,Salvat-Papasseit i la seva época,1976,60',Música para escena. Electrónica sobre soporte.,1976. Barcelona Fundacion Miró.,,,
,Quodlibet IV (Versiòn 2),1976,12',Mixta. Piano y electrónica sobre soporte.,1976. Barcelona. Palacio de la música/ festival HispanoMexicano de México.,,Dedicado a Carles Santos.,
,Un jardín para todos,1977,60',Música para escena. Electrónica sobre soporte.,1977 Barcelona. Fundacion Miró Teatre Tres Terres.,,,
,Variaciones I,1977,11',Electrónica sobre soporte.,1982. Barcelona.,,,
,Destierro,1979,24',Electrónica sobre soporte.,1981. Radiodifusión Suiza.,Disco Hemisferio H-1033. Barcelona 1981.,,
,Cielo,1979,20',Mixta. 4 violas y electrónica sobre soporte.,1981. Barcelona.,Disco Hemisferio H-1033. Barcelona 1981.,,GB79_07 CD10
,Memorias,1980,25',"Mixta. Percusiòn, Violin y electrónica sobre soporte.",,,No estrenada,
,Música de las Aparencias,1980,28',Mixta. Violin y electrónica sobre soporte.,,,Dedicada a Francisco Kröpfl.,
,Coral retrato,1980,13',"Mixta. Tenor, Viola, Clarinete y electrónica sobre soporte.","Barcelona, 1985.",,"Versión con Voz, viola y cinta.",
,Aria y Pasacalle,1980,14',"Mixta. Flauta, Clarinete, Contrabajo, Guitarra y electrónica sobre soporte.","1986. Barcelona, Fundacion Maeght.",,,
,Nuestra América,1981,26',Mixta. Percusiòn y electrónica sobre soporte (4 pistas).,1982. Barcelona. Discoteca Estudio 54.,,,
,Grisalla,1981,90',Electrónica sobre soporte.,1982. Barcelona.,,,
,Grisalla (Versiòn 2),1982,27',Música para escena. Electrónica sobre soporte.,"1983. Group Tres Terres. Barcelona, España.",,,
,Bach y las monedas,1982,8',Música para escena. Electrónica sobre soporte.,"1986. Festival Anacrusa. Santiago, Chile.",,,
,Nuestra América (Versiòn 2),1982,26',Electrónica sobre soporte.,,,,
,Las Afinidades electivas,1982,,2 PolyMoog.,No estrenada,,,
,Canciones con sintetizador,1982,18',Electrónica sobre soporte.,"1987. Toulouse, Francia.",,,
,Triunfo por las madres de plaza de mayo,1983,,"Mixta. Guitarra, Voz y electrónica sobre soporte.","1982. Palau de la Musica. Barcelona, España.",,Voz: Anna Ricci,
,Polifonía de Barcelona,1983,17',Mixta. Grupo de Cámara procesado en tiempo real.,"1983. ICMC. Ensemble 2e2m Paris, Francia.",Catalana de Ediciones Musicales. Barcelona.,"Transformaciones en tiempo real : Jose Manuel Berenguer, Juan Jose Ordinas y Claudio Zulián.",GB83_08 CD10
